sequence,frame,image_path,gt_id_path,pred_path,status,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,gt_pos_ratio
00003,frame001410-1581624216_250,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001410-1581624216_250.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001410-1581624216_250.png,/home/brownassassin/research-project/rellis-output/00003/frame001410-1581624216_250/pred_traversable.png,no_boxes,0,0,824057,1479943,0.0,0.0,0.0,0.0,0.6423363715277776,0.35766362847222205
00003,frame001412-1581624216_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001412-1581624216_449.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001412-1581624216_449.png,/home/brownassassin/research-project/rellis-output/00003/frame001412-1581624216_449/pred_traversable.png,no_boxes,0,0,851687,1452313,0.0,0.0,0.0,0.0,0.6303441840277775,0.3696558159722221
00003,frame001414-1581624216_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001414-1581624216_649.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001414-1581624216_649.png,/home/brownassassin/research-project/rellis-output/00003/frame001414-1581624216_649/pred_traversable.png,no_boxes,0,0,715449,1588551,0.0,0.0,0.0,0.0,0.6894752604166664,0.3105247395833332
00003,frame001416-1581624216_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001416-1581624216_849.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001416-1581624216_849.png,/home/brownassassin/research-project/rellis-output/00003/frame001416-1581624216_849/pred_traversable.png,no_boxes,0,0,741855,1562145,0.0,0.0,0.0,0.0,0.6780143229166664,0.3219856770833332
00003,frame001418-1581624217_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001418-1581624217_049.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001418-1581624217_049.png,/home/brownassassin/research-project/rellis-output/00003/frame001418-1581624217_049/pred_traversable.png,no_boxes,0,0,723128,1580872,0.0,0.0,0.0,0.0,0.6861423611111108,0.31385763888888873
00003,frame001420-1581624217_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001420-1581624217_249.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001420-1581624217_249.png,/home/brownassassin/research-project/rellis-output/00003/frame001420-1581624217_249/pred_traversable.png,no_boxes,0,0,783253,1520747,0.0,0.0,0.0,0.0,0.660046440972222,0.33995355902777763
00003,frame001422-1581624217_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001422-1581624217_449.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001422-1581624217_449.png,/home/brownassassin/research-project/rellis-output/00003/frame001422-1581624217_449/pred_traversable.png,no_boxes,0,0,736747,1567253,0.0,0.0,0.0,0.0,0.6802313368055553,0.3197686631944443
00003,frame001424-1581624217_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001424-1581624217_649.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001424-1581624217_649.png,/home/brownassassin/research-project/rellis-output/00003/frame001424-1581624217_649/pred_traversable.png,no_boxes,0,0,699971,1604029,0.0,0.0,0.0,0.0,0.6961931423611109,0.30380685763888876
00003,frame001426-1581624217_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001426-1581624217_849.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001426-1581624217_849.png,/home/brownassassin/research-project/rellis-output/00003/frame001426-1581624217_849/pred_traversable.png,no_boxes,0,0,655390,1648610,0.0,0.0,0.0,0.0,0.715542534722222,0.28445746527777765
00003,frame001428-1581624218_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001428-1581624218_049.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001428-1581624218_049.png,/home/brownassassin/research-project/rellis-output/00003/frame001428-1581624218_049/pred_traversable.png,no_boxes,0,0,614293,1689707,0.0,0.0,0.0,0.0,0.7333797743055552,0.2666202256944443
